ccode,polity_code,dispute,StYear,EndYear
500,UGA,1,2005,2005
490,ZAI,1,2005,2005
220,FRN,1,2005,2005
437,IVO,1,2005,2005
530,ETI,1,2005,2005
531,ERI,1,2005,2005
483,CHA,1,2005,2006
625,SDN,1,2005,2006
530,ETI,1,2006,2006
501,KEN,1,2006,2006
500,UGA,1,2006,2006
490,ZAI,1,2006,2006
530,ETI,1,2006,2007
520,SOM,1,2006,2007
517,RWA,1,2006,2006
516,BUI,1,2006,2006
531,ERI,1,2006,2006
530,ETI,1,2006,2006
483,CHA,1,2006,2007
625,SDN,1,2006,2007
501,KEN,1,2006,2006
520,SOM,1,2006,2006
500,UGA,1,2007,2007
490,ZAI,1,2007,2007
490,ZAI,1,2007,2008
516,BUI,1,2007,2008
530,ETI,1,2007,2007
531,ERI,1,2007,2007
483,CHA,1,2007,2008
625,SDN,1,2007,2008
530,ETI,1,2008,2008
520,SOM,1,2008,2008
2,USA,1,2008,2008
520,SOM,1,2008,2008
531,ERI,1,2008,2008
522,DJI,1,2008,2008
625,SDN,1,2008,2008
530,ETI,1,2008,2008
501,KEN,1,2008,2008
520,SOM,1,2008,2008
530,ETI,1,2008,2010
520,SOM,1,2008,2010
540,ANG,1,2009,2009
490,ZAI,1,2009,2009
483,CHA,1,2009,2009
625,SDN,1,2009,2009
501,KEN,1,2009,2009
520,SOM,1,2009,2009
530,ETI,1,2010,2010
531,ERI,1,2010,2010
517,RWA,1,2010,2010
500,UGA,1,2010,2010
531,ERI,1,2010,2010
679,YEM,1,2010,2010
500,UGA,1,2010,2010
501,KEN,1,2010,2010
630,IRN,1,2002,2002
373,AZE,1,2002,2002
640,TUR,1,2002,2002
352,CYP,1,2002,2002
350,GRC,1,2002,2002
365,RUS,1,2002,2002
373,AZE,1,2002,2002
343,MAC,1,2002,2002
339,ALB,1,2002,2002
344,CRO,1,2002,2002
349,SLV,1,2002,2002
371,ARM,1,2002,2010
373,AZE,1,2002,2010
640,TUR,1,2002,2002
350,GRC,1,2002,2002
365,RUS,1,2003,2003
372,GRG,1,2003,2003
390,DEN,1,2003,2003
365,RUS,1,2003,2003
630,IRN,1,2003,2003
373,AZE,1,2003,2003
359,MLD,1,2003,2004
369,UKR,1,2003,2004
365,RUS,1,2003,2003
372,GRG,1,2003,2003
704,UZB,1,2004,2004
702,TAJ,1,2004,2004
372,GRG,1,2004,2004
365,RUS,1,2004,2004
640,TUR,1,2004,2005
350,GRC,1,2004,2005
365,RUS,1,2005,2006
372,GRG,1,2005,2006
365,RUS,1,2005,2005
369,UKR,1,2005,2005
702,TAJ,1,2005,2005
703,KYR,1,2005,2005
702,TAJ,1,2005,2005
704,UZB,1,2005,2005
703,KYR,1,2005,2005
704,UZB,1,2005,2005
385,NOR,1,2005,2005
365,RUS,1,2005,2005
703,KYR,1,2005,2005
704,UZB,1,2005,2005
350,GRC,1,2006,2006
640,TUR,1,2006,2006
703,KYR,1,2006,2006
704,UZB,1,2006,2006
702,TAJ,1,2006,2006
704,UZB,1,2006,2006
371,ARM,1,2006,2006
640,TUR,1,2006,2006
640,TUR,1,2007,2007
350,GRC,1,2007,2007
365,RUS,1,2007,2010
372,GRG,1,2007,2010
365,RUS,1,2007,2008
375,FIN,1,2007,2008
365,RUS,1,2008,2008
369,UKR,1,2008,2008
355,BUL,1,2008,2008
640,TUR,1,2008,2008
365,RUS,1,2008,2008
385,NOR,1,2008,2008
369,UKR,1,2009,2009
359,MLD,1,2009,2009
703,KYR,1,2010,2010
704,UZB,1,2010,2010
640,TUR,1,2010,2010
350,GRC,1,2010,2010
713,TAW,1,2002,2002
710,CHN,1,2002,2002
710,CHN,1,2002,2002
740,JPN,1,2002,2002
710,CHN,1,2002,2002
816,VIE,1,2002,2002
710,CHN,1,2002,2002
732,ROK,1,2002,2002
840,PHI,1,2002,2002
710,CHN,1,2002,2002
740,JPN,1,2002,2002
731,PRK,1,2002,2002
710,CHN,1,2002,2002
2,USA,1,2002,2002
2,USA,1,2002,2002
230,SPN,1,2002,2002
731,PRK,1,2002,2002
850,INS,1,2003,2003
910,PNG,1,2003,2003
850,INS,1,2003,2003
840,PHI,1,2003,2003
740,JPN,1,2003,2003
713,TAW,1,2003,2003
2,USA,1,2003,2003
731,PRK,1,2003,2003
740,JPN,1,2003,2003
731,PRK,1,2003,2003
740,JPN,1,2003,2004
710,CHN,1,2003,2004
710,CHN,1,2003,2003
750,IND,1,2003,2003
230,SPN,1,2003,2003
732,ROK,1,2003,2003
2,USA,1,2003,2003
850,INS,1,2003,2003
713,TAW,1,2003,2003
840,PHI,1,2003,2003
713,TAW,1,2003,2004
710,CHN,1,2003,2004
710,CHN,1,2003,2003
731,PRK,1,2003,2003
816,VIE,1,2003,2003
710,CHN,1,2003,2003
2,USA,1,2004,2004
731,PRK,1,2004,2004
710,CHN,1,2004,2004
731,PRK,1,2004,2004
710,CHN,1,2004,2004
740,JPN,1,2004,2004
740,JPN,1,2005,2005
732,ROK,1,2005,2005
713,TAW,1,2005,2005
710,CHN,1,2005,2005
713,TAW,1,2005,2005
740,JPN,1,2005,2005
